Date,Close,High,Low,Open,Volume
2015-12-23,34717.30078125,36413.3984375,33392.19921875,36307.3984375,497552
2015-12-24,38162.5,38162.5,35088.30078125,35088.30078125,288134
2015-12-28,38162.5,39646.6015625,38162.5,38692.5,144381
2015-12-29,38692.5,39487.6015625,37950.5,38639.5,301678
2015-12-30,38904.6015625,39222.6015625,38533.5,38798.6015625,122671
2015-12-31,39222.6015625,39222.6015625,38162.5,38957.6015625,110040
2016-01-04,38692.5,39487.6015625,38427.5,38957.6015625,162819
2016-01-05,38162.5,39116.6015625,38162.5,38692.5,141123
2016-01-06,38427.5,38427.5,38162.5,38427.5,120577
2016-01-07,38162.5,38427.5,37632.5,38427.5,73278
2016-01-08,37897.5,38162.5,37420.5,38162.5,68975
2016-01-11,36837.3984375,38109.5,36837.3984375,38109.5,69618
2016-01-12,37367.5,37632.5,36307.3984375,36837.3984375,119196
2016-01-13,38109.5,38321.5,37367.5,37367.5,88768
2016-01-14,37632.5,38056.5,37155.3984375,38056.5,72710
2016-01-15,37102.3984375,38162.5,37102.3984375,38056.5,134199
2016-01-19,37367.5,37632.5,36360.3984375,37579.5,72082
2016-01-20,37367.5,38056.5,36890.3984375,37102.3984375,95088
2016-01-21,37102.3984375,37579.5,37102.3984375,37579.5,51695
2016-01-22,37102.3984375,37632.5,36572.3984375,37632.5,110447
2016-01-25,37791.5,37897.5,37102.3984375,37632.5,67920
2016-01-26,37102.3984375,37685.5,37102.3984375,37155.3984375,107804
2016-01-27,37102.3984375,37791.5,37102.3984375,37155.3984375,53415
2016-01-28,36572.3984375,37579.5,36466.3984375,37579.5,96220
2016-01-29,34611.30078125,38162.5,34611.30078125,37579.5,248336
2016-02-01,35512.30078125,36519.3984375,34611.30078125,35512.30078125,119615
2016-02-02,35512.30078125,35777.3984375,35512.30078125,35512.30078125,45152
2016-02-03,35088.30078125,35459.30078125,34452.30078125,34452.30078125,107017
2016-02-04,34770.30078125,35459.30078125,33975.19921875,34982.30078125,155839
2016-02-05,36996.3984375,37897.5,34770.30078125,34770.30078125,146405
2016-02-08,36996.3984375,36996.3984375,36996.3984375,36996.3984375,0
2016-02-09,36996.3984375,36996.3984375,36996.3984375,36996.3984375,0
2016-02-10,36996.3984375,36996.3984375,36996.3984375,36996.3984375,0
2016-02-11,36996.3984375,36996.3984375,36996.3984375,36996.3984375,0
2016-02-12,36996.3984375,36996.3984375,36996.3984375,36996.3984375,0
2016-02-16,36784.3984375,37473.5,36625.3984375,36837.3984375,101903
2016-02-17,36996.3984375,37261.5,36784.3984375,37261.5,71165
2016-02-18,36572.3984375,37473.5,36572.3984375,36837.3984375,291962
2016-02-19,36572.3984375,36572.3984375,36572.3984375,36572.3984375,0
2016-02-22,36572.3984375,36572.3984375,36572.3984375,36572.3984375,0
2016-02-23,36572.3984375,36572.3984375,36572.3984375,36572.3984375,0
2016-02-24,41183.69921875,41872.80078125,39381.6015625,40017.6015625,188618
2016-02-25,40017.6015625,41342.69921875,40017.6015625,41077.69921875,158907
2016-02-26,40176.6015625,40812.69921875,39752.6015625,40282.69921875,181799
2016-02-29,40812.69921875,41289.69921875,40282.69921875,40282.69921875,127022
2016-03-01,40812.69921875,41077.69921875,40282.69921875,40812.69921875,114332
2016-03-02,42402.80078125,42985.80078125,40812.69921875,40812.69921875,287821
2016-03-03,42402.80078125,43197.80078125,42137.80078125,42402.80078125,74040
2016-03-04,43197.80078125,43462.8984375,42402.80078125,42402.80078125,136982
2016-03-07,42031.80078125,44257.8984375,42031.80078125,43250.80078125,209458
2016-03-08,42402.80078125,42932.80078125,41872.80078125,42667.80078125,160999
2016-03-09,42508.80078125,43197.80078125,42243.80078125,42402.80078125,81896
2016-03-10,43462.8984375,43674.8984375,42773.80078125,43197.80078125,79878
2016-03-11,42932.80078125,43568.8984375,41872.80078125,43462.8984375,232758
