date,title,push,boo,arrow,net,link
6/27,Re: [情報] 「台新高股息平衡基金」及「台新臺灣永續高息中小型ETF,2,0,26,2,https://www.ptt.cc/bbs/Stock/M.1751001703.A.CAD.html
6/27,Re: [新聞] 新台幣28字頭快到！今開盤升2.5角、盤中2,84,36,87,49,https://www.ptt.cc/bbs/Stock/M.1751002477.A.929.html
6/27,[心得] 股務事務e櫃台線上改配股配息帳號,22,0,9,22,https://www.ptt.cc/bbs/Stock/M.1751003620.A.EE4.html
6/27,[閒聊] 2025/06/27 盤後閒聊,796,109,582,73,https://www.ptt.cc/bbs/Stock/M.1751004007.A.CF9.html
6/27,[新聞] 債蛙凍未條？台灣投資人狂拋美債ETF,138,10,97,爆,https://www.ptt.cc/bbs/Stock/M.1751004814.A.C76.html
6/27,Re: [心得] 為什麼要升值? 直接吃關稅不就好了?,10,1,10,9,https://www.ptt.cc/bbs/Stock/M.1751006988.A.F1A.html
6/27,[心得] 央行有規範外資台股反向ETF買賣，不用處理?,64,8,37,56,https://www.ptt.cc/bbs/Stock/M.1751007143.A.E7A.html
6/27,[新聞] 美財長貝森特：「復仇稅」已無必要 稅收,11,1,14,10,https://www.ptt.cc/bbs/Stock/M.1751007258.A.A88.html
6/27,[情報] 0627 上市投信買賣超排行,15,1,12,14,https://www.ptt.cc/bbs/Stock/M.1751007493.A.48A.html
6/27,[新聞] 專訪｜蕭煌奇4月股災「賠掉一棟房」　不,225,2,73,爆,https://www.ptt.cc/bbs/Stock/M.1751007658.A.4CF.html
6/27,Re: [新聞] 熱錢禿鷹滯留 有炒匯嫌疑…左手買台股,6,0,2,12,https://www.ptt.cc/bbs/Stock/M.1751007778.A.CAF.html
6/27,[情報] 114年06月27日 三大法人買賣金額統計表,68,13,33,55,https://www.ptt.cc/bbs/Stock/M.1751008650.A.74D.html
6/27,[請益] 台幣 13.535 investing.com,168,14,122,爆,https://www.ptt.cc/bbs/Stock/M.1751008998.A.E0C.html
6/27,[請益] 為何央行不增加貨幣供給,35,12,75,23,https://www.ptt.cc/bbs/Stock/M.1751011238.A.AA4.html
